Date,GBPUSD=X,GLD,SPY,USO,VIX
2015-07-17,1.5613046884536743,108.6500015258789,178.09364318847656,135.9199981689453,11.949999809265137
2015-07-20,1.5600380897521973,105.69999694824219,178.18585205078125,133.52000427246094,12.25
2015-07-21,1.5573898553848267,105.37000274658203,177.48182678222656,135.27999877929688,12.220000267028809
2015-07-22,1.555596947669983,104.80000305175781,177.16331481933594,130.72000122070312,12.119999885559082
2015-07-23,1.5614020824432373,104.33000183105469,176.1658477783203,129.1199951171875,12.640000343322754
2015-07-24,1.5519516468048096,105.3499984741211,174.3386688232422,128.24000549316406,13.739999771118164
2015-07-27,1.5522888898849487,104.86000061035156,173.32444763183594,125.19999694824219,15.600000381469727
2015-07-28,1.5564203262329102,105.0199966430664,175.45347595214844,126.80000305175781,13.4399995803833
2015-07-29,1.5611096620559692,105.16999816894531,176.6604461669922,129.9199981689453,12.5
2015-07-30,1.5602084398269653,104.2699966430664,176.7023162841797,128.8000030517578,12.130000114440918
2015-07-31,1.5604275465011597,104.93000030517578,176.43409729003906,124.72000122070312,12.119999885559082
2015-08-03,1.5626953840255737,104.0999984741211,175.83900451660156,120.80000305175781,12.5600004196167
2015-08-04,1.559040904045105,104.30999755859375,175.49539184570312,121.76000213623047,13.0
2015-08-05,1.5569047927856445,103.93000030517578,176.07369995117188,120.23999786376953,12.510000228881836
2015-08-06,1.5605981349945068,104.38999938964844,174.63201904296875,118.95999908447266,13.770000457763672
2015-08-07,1.551421880722046,104.6500015258789,174.29673767089844,116.4800033569336,13.390000343322754
2015-08-10,1.5494027137756348,105.72000122070312,176.49281311035156,119.12000274658203,12.229999542236328
2015-08-11,1.5585306882858276,106.26000213623047,174.90023803710938,115.91999816894531,13.710000038146973
2015-08-12,1.5584092140197754,107.75,175.1097869873047,115.5199966430664,13.609999656677246
2015-08-13,1.561597228050232,106.86000061035156,174.89186096191406,112.72000122070312,13.489999771118164
2015-08-14,1.561792254447937,106.8499984741211,175.5288543701172,111.91999816894531,12.829999923706055
2015-08-17,1.5651901960372925,107.12999725341797,176.509521484375,111.12000274658203,13.020000457763672
2015-08-18,1.5585062503814697,107.11000061035156,175.9982452392578,112.4000015258789,13.789999961853027
2015-08-19,1.5664896965026855,108.55000305175781,174.6068878173828,107.44000244140625,15.25
2015-08-20,1.568307638168335,110.44000244140625,170.96084594726562,106.95999908447266,19.139999389648438
2015-08-21,1.5690950155258179,111.12999725341797,165.81448364257812,105.83999633789062,28.030000686645508
2015-08-24,1.5677913427352905,110.52999877929688,158.83253479003906,99.91999816894531,40.7400016784668
2015-08-25,1.5762925148010254,109.16000366210938,156.96348571777344,101.83999633789062,36.02000045776367
2015-08-26,1.5695877075195312,107.66999816894531,162.9899139404297,102.16000366210938,30.31999969482422
2015-08-27,1.5482032299041748,107.7300033569336,167.02149963378906,111.5999984741211,26.100000381469727
2015-08-28,1.541401982307434,108.69999694824219,167.0298614501953,119.04000091552734,26.049999237060547
2015-08-31,1.5418059825897217,108.81999969482422,165.680419921875,127.12000274658203,28.43000030517578
2015-09-01,1.5363106727600098,109.19999694824219,160.73521423339844,118.4800033569336,31.399999618530273
2015-09-02,1.5305262804031372,108.62000274658203,163.78614807128906,120.72000122070312,26.09000015258789
2015-09-03,1.5308074951171875,107.83999633789062,163.9034881591797,122.72000122070312,25.610000610351562
2015-09-04,1.526205062866211,107.48999786376953,161.42251586914062,120.63999938964844,27.799999237060547
2015-09-07,1.5201033353805542,,,,
2015-09-08,1.5283042192459106,107.5199966430664,165.47926330566406,120.16000366210938,24.899999618530273
2015-09-09,1.5401912927627563,106.12999725341797,163.2664794921875,116.08000183105469,26.229999542236328
2015-09-10,1.5357915163040161,106.37999725341797,164.15493774414062,119.44000244140625,24.3700008392334
2015-09-11,1.54421067237854,106.16000366210938,164.90089416503906,117.19999694824219,23.200000762939453
2015-09-14,1.5448071956634521,106.22000122070312,164.2890625,115.12000274658203,24.25
2015-09-15,1.5427099466323853,105.9000015258789,166.3426055908203,116.55999755859375,22.540000915527344
2015-09-16,1.53449547290802,107.30999755859375,167.7842254638672,122.87999725341797,21.350000381469727
2015-09-17,1.5518070459365845,108.41000366210938,167.4070281982422,121.83999633789062,21.139999389648438
2015-09-18,1.5569047927856445,109.20999908447266,164.67132568359375,116.95999908447266,22.280000686645508
2015-09-21,1.552891492843628,108.52999877929688,165.52232360839844,120.4000015258789,20.139999389648438
2015-09-22,1.5508204698562622,107.79000091552734,163.37384033203125,119.36000061035156,22.440000534057617
2015-09-23,1.5353907346725464,108.22000122070312,163.1126708984375,115.5199966430664,22.1299991607666
2015-09-24,1.5252039432525635,110.48999786376953,162.52285766601562,116.72000122070312,23.469999313354492
2015-09-25,1.522695779800415,109.80999755859375,162.48080444335938,117.76000213623047,23.6200008392334
2015-09-28,1.5201727151870728,108.41999816894531,158.4030303955078,115.04000091552734,27.6299991607666
2015-09-29,1.5165071487426758,107.9800033569336,158.49562072753906,116.87999725341797,26.829999923706055
2015-09-30,1.5157945156097412,106.86000061035156,161.4529266357422,117.44000244140625,24.5
2015-10-01,1.5124017000198364,106.7300033569336,161.8741912841797,116.63999938964844,22.549999237060547
2015-10-02,1.5139129161834717,108.98999786376953,164.29220581054688,118.16000366210938,20.940000534057617
2015-10-05,1.5194103717803955,108.7699966430664,167.21575927734375,120.0,19.540000915527344
2015-10-06,1.5154958963394165,109.86000061035156,166.64288330078125,125.91999816894531,19.399999618530273
2015-10-07,1.5226030349731445,109.69999694824219,168.0077667236328,124.55999755859375,18.399999618530273
